,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),cum_trips
0,4/1/17,23849,67299,210739,767,43,23849
1,4/2/17,39779,130087,210915,3639,58,63628
2,4/3/17,43484,104217,211075,970,68,107112
3,4/4/17,29990,63091,211171,183,23,137102
4,4/5/17,47635,108281,211310,1192,59,184737
5,4/6/17,18020,44411,211362,67,12,202757
6,4/7/17,35779,81358,211440,456,43,238536
7,4/8/17,35936,108886,211589,2719,83,274472
8,4/9/17,43895,137240,211806,4390,114,318367
9,4/10/17,50422,124356,212050,2164,139,368789
10,4/11/17,57309,150222,212298,2699,135,426098
11,4/12/17,51188,113959,212484,1493,108,477286
12,4/13/17,52915,131228,212648,2388,129,530201
13,4/14/17,52230,149382,212812,3451,273,582431
14,4/15/17,42531,134526,212950,3981,235,624962
15,4/16/17,48137,157912,213172,6143,361,673099
16,4/17/17,53247,127619,213385,2019,234,726346
17,4/18/17,53809,126129,213580,1624,194,780155
18,4/19/17,45788,97587,213703,738,55,825943
19,4/20/17,44260,108427,213819,1065,172,870203
20,4/21/17,39868,92348,213913,1194,129,910071
21,4/22/17,34596,101444,214028,5173,102,944667
22,4/23/17,49106,142563,214278,4541,420,993773
23,4/24/17,48692,103241,214462,1143,123,1042465
24,4/25/17,20332,47829,214552,201,36,1062797
25,4/26/17,37727,81859,214654,595,109,1100524
26,4/27/17,52035,122394,214793,1412,266,1152559
27,4/28/17,62199,163665,214965,2963,458,1214758
28,4/29/17,57701,180290,215219,5699,562,1272459
29,4/30/17,42928,125305,215455,2921,340,1315387
30,5/1/17,56218,136675,215724,1813,311,1371605
31,5/2/17,61205,142585,216017,1827,309,1432810
32,5/3/17,59251,141936,216239,1537,247,1492061
33,5/4/17,57428,144583,216436,1626,239,1549489
34,5/5/17,24009,58278,216535,355,52,1573498
35,5/6/17,46616,127879,216768,3349,363,1620114
36,5/7/17,34293,90625,216928,1921,196,1654407
37,5/8/17,51553,114260,217147,1230,253,1705960
38,5/9/17,56461,118257,217341,1179,199,1762421
39,5/10/17,58452,136080,217512,1362,225,1820873
40,5/11/17,57208,135699,217673,1313,205,1878081
41,5/12/17,56671,132477,217840,1784,189,1934752
42,5/13/17,5704,28193,217905,117,0,1940456
43,5/14/17,38729,114819,218120,2664,222,1979185
44,5/15/17,54715,129870,218356,1279,185,2033900
45,5/16/17,64504,157411,218690,1850,283,2098404
46,5/17/17,65791,153500,219023,1864,241,2164195
47,5/18/17,63753,149837,219304,1929,270,2227948
48,5/19/17,62143,145832,219564,2310,275,2290091
49,5/20/17,47858,135405,219776,3486,251,2337949
50,5/21/17,54873,160019,220097,4903,287,2392822
51,5/22/17,24627,61049,220269,218,22,2417449
52,5/23/17,60024,139680,220513,1579,224,2477473
53,5/24/17,60621,135482,220735,1558,153,2538094
54,5/25/17,17494,50743,220840,143,27,2555588
55,5/26/17,53763,133402,221049,2224,306,2609351
56,5/27/17,46533,145924,221271,4590,511,2655884
57,5/28/17,46724,151063,221515,5229,374,2702608
58,5/29/17,26321,75825,221745,1149,77,2728929
59,5/30/17,50192,114629,222057,962,204,2779121
60,5/31/17,59494,142097,222764,1596,197,2838615
61,6/1/17,67404,163063,222977,1957,289,2906019
62,6/2/17,66905,157299,223162,2315,357,2972924
63,6/3/17,56263,155712,223356,4627,356,3029187
64,6/4/17,40138,100571,223520,2270,103,3069325
65,6/5/17,55882,123795,223719,1286,204,3125207
66,6/6/17,41268,86679,223834,523,89,3166475
67,6/7/17,64452,149853,223969,1536,258,3230927
68,6/8/17,62652,132716,224131,1631,266,3293579
69,6/9/17,66504,156787,224289,2513,313,3360083
70,6/10/17,57086,150903,224455,4764,296,3417169
71,6/11/17,51427,140711,224654,3941,179,3468596
72,6/12/17,57870,133564,224889,1561,201,3526466
73,6/13/17,60920,129444,225078,1407,179,3587386
74,6/14/17,60510,137988,225231,1573,218,3647896
75,6/15/17,64761,144513,225430,1885,227,3712657
76,6/16/17,56401,128201,225556,1507,177,3769058
77,6/17/17,34899,83755,225683,2243,209,3803957
78,6/18/17,49469,138414,225864,3730,295,3853426
79,6/19/17,38308,88057,226025,878,158,3891734
80,6/20/17,64670,146794,226220,1781,215,3956404
81,6/21/17,67215,154525,226394,1666,258,4023619
82,6/22/17,66304,158453,226589,1818,260,4089923
83,6/23/17,55321,129797,226695,1585,205,4145244
84,6/24/17,52150,141282,226849,4277,314,4197394
85,6/25/17,54645,158625,227015,4527,256,4252039
86,6/26/17,62661,145321,227211,2024,297,4314700
87,6/27/17,64762,151112,227418,1697,229,4379462
88,6/28/17,67740,159263,227679,1893,208,4447202
89,6/29/17,64260,146419,227855,1703,210,4511462
90,6/30/17,58660,132583,228047,2024,293,4570122
0,7/1/17,36737,107126,228157,2828,372,4606859
1,7/2/17,43035,128397,228306,4314,458,4649894
2,7/3/17,48193,130240,228473,3243,316,4698087
3,7/4/17,49924,146441,228669,4929,315,4748011
4,7/5/17,60321,149487,228908,1886,267,4808332
5,7/6/17,62147,140767,229085,1646,264,4870479
6,7/7/17,44068,103656,229241,1283,216,4914547
7,7/8/17,55015,146438,229453,4138,333,4969562
8,7/9/17,57118,159914,229680,4471,340,5026680
9,7/10/17,60908,141463,229933,1546,359,5087588
10,7/11/17,61670,141463,230159,1269,227,5149258
11,7/12/17,61786,132874,230336,1376,179,5211044
12,7/13/17,56475,126527,230514,1322,180,5267519
13,7/14/17,31851,70477,230610,570,101,5299370
14,7/15/17,56499,148067,230772,4761,378,5355869
15,7/16/17,56833,153666,230981,4497,308,5412702
16,7/17/17,62555,141323,231225,1675,289,5475257
17,7/18/17,66234,144623,231416,1724,243,5541491
18,7/19/17,63916,143277,231603,1617,267,5605407
19,7/20/17,59665,131871,231741,1439,229,5665072
20,7/21/17,60074,136330,231882,1929,304,5725146
21,7/22/17,48013,124272,232049,3634,332,5773159
22,7/23/17,46945,117035,232212,3164,249,5820104
23,7/24/17,43793,104460,232359,989,113,5863897
24,7/25/17,65339,148542,232521,1549,285,5929236
25,7/26/17,70329,168603,232674,2054,248,5999565
26,7/27/17,65773,144443,232820,1666,214,6065338
27,7/28/17,63911,151514,232984,2293,297,6129249
28,7/29/17,52955,132509,233138,4085,324,6182204
29,7/30/17,59364,165423,233360,5214,376,6241568
30,7/31/17,64231,153123,233614,1862,263,6305799
31,8/1/17,66676,147654,233824,1813,272,6372475
32,8/2/17,56179,122622,233958,3291,139,6428654
33,8/3/17,66144,146858,234160,1849,257,6494798
34,8/4/17,56391,128749,234312,2212,325,6551189
35,8/5/17,58966,169511,234524,5299,415,6610155
36,8/6/17,56473,161492,234715,4686,292,6666628
37,8/7/17,23395,55927,234851,249,34,6690023
38,8/8/17,65228,145901,235084,1738,331,6755251
39,8/9/17,67874,170524,235283,1952,300,6823125
40,8/10/17,66245,151415,235457,1834,262,6889370
41,8/11/17,63134,147098,235623,2360,358,6952504
42,8/12/17,60531,173581,235890,5409,405,7013035
43,8/13/17,57511,162040,236098,4755,337,7070546
44,8/14/17,61460,139535,236328,1816,294,7132006
45,8/15/17,52460,105695,236504,948,125,7184466
46,8/16/17,68434,159032,236681,1905,251,7252900
47,8/17/17,66654,156810,236872,2087,261,7319554
48,8/18/17,36619,90704,236984,840,124,7356173
49,8/19/17,62440,186037,237324,5992,461,7418613
50,8/20/17,55438,147379,237518,4218,313,7474051
51,8/21/17,61055,138059,237710,1832,277,7535106
52,8/22/17,60541,133409,237878,1477,260,7595647
53,8/23/17,65069,141360,238057,1712,219,7660716
54,8/24/17,66306,151449,238257,1820,315,7727022
55,8/25/17,64217,156344,238406,2316,325,7791239
56,8/26/17,50111,132832,238546,3621,214,7841350
57,8/27/17,54594,145524,238771,4135,278,7895944
58,8/28/17,60885,133126,239016,1616,272,7956829
59,8/29/17,35151,67448,239163,424,104,7991980
60,8/30/17,65328,147325,239347,1760,309,8057308
61,8/31/17,64881,144852,239519,1727,260,8122189
62,9/1/17,54881,129382,239653,1775,294,8177070
63,9/2/17,37810,107949,239785,3359,420,8214880
64,9/3/17,30955,83988,239906,2394,175,8245835
65,9/4/17,55284,164623,240126,5298,362,8301119
66,9/5/17,65443,140362,240378,1607,265,8366562
67,9/6/17,42318,86395,240541,445,90,8408880
68,9/7/17,69571,148669,240750,1542,356,8478451
69,9/8/17,69616,154397,240903,1976,322,8548067
70,9/9/17,60187,150847,241108,4196,272,8608254
71,9/10/17,60750,154588,241329,4056,301,8669004
72,9/11/17,71964,166177,241563,1992,276,8740968
73,9/12/17,74623,161263,241775,1737,238,8815591
74,9/13/17,69616,146802,241991,1471,199,8885207
75,9/14/17,72128,150535,242211,1551,244,8957335
76,9/15/17,72361,160138,242393,2088,323,9029696
77,9/16/17,61077,156839,242552,4304,297,9090773
78,9/17/17,60003,156834,242748,3869,229,9150776
79,9/18/17,64207,138078,242968,1387,190,9214983
80,9/19/17,57977,115451,243128,914,146,9272960
81,9/20/17,71222,150377,243309,1385,202,9344182
82,9/21/17,67799,152463,243503,1690,191,9411981
83,9/22/17,70192,163114,243715,2315,259,9482173
84,9/23/17,62748,165582,243967,4821,322,9544921
85,9/24/17,57503,148926,244277,3681,176,9602424
86,9/25/17,69271,156367,244551,1537,258,9671695
87,9/26/17,71566,156779,244809,1359,257,9743261
88,9/27/17,69942,147977,245051,1268,200,9813203
89,9/28/17,70951,148394,245299,1490,224,9884154
90,9/29/17,67246,141709,245558,1875,288,9951400
91,9/30/17,50200,113613,245923,2694,214,10001600
0,1/1/17,16009,50761,206624,1237,33,10017609
1,1/2/17,8921,21545,206675,142,15,10026530
2,1/3/17,14198,25879,206728,42,15,10040728
3,1/4/17,34039,69966,206778,475,29,10074767
4,1/5/17,28393,52446,206845,214,17,10103160
5,1/6/17,24177,48964,206879,157,17,10127337
6,1/7/17,4425,23556,206892,21,4,10131762
7,1/8/17,6417,22756,206907,27,2,10138179
