,24-Hour Passes Purchased (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm)	7-Day Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Annual Member Sign-Ups (midnight to 11:59 pm),Cumulative trips (since launch),Cumulative trips (since launch):,Date,Miles traveled to date,Miles traveled to date:,Miles traveled today (midnight to 11:59 pm),Total Annual Members,Total Annual Members (All Time),Total Annual Memberships Sold,Trips over the past 24-hours (midnight to 11:59pm)
0,330,,,48,112,,13296973,10/1/14,,23121175,44612.0,,,124846.0,31197
1,602,,,86,113,,13335259,10/2/14,,23181814,60639.0,,,124959.0,38286
2,1276,,,107,65,,13374215,10/3/14,,23247553,65739.0,,,125024.0,38956
3,617,,,26,34,,13389303,10/4/14,,23271807,24254.0,,,125058.0,15088
4,1470,,,90,51,,13415550,10/5/14,,23320737,48930.0,,,125109.0,26247
5,710,,,99,94,,13451201,10/6/14,,23377117,56380.0,,,125203.0,35651
6,593,,,81,59,,13488132,10/7/14,,23435857,58740.0,,,125262.0,36931
7,667,,,86,92,,13526002,10/8/14,,23496451,60594.0,,,125354.0,37870
8,709,,,71,53,,13562429,10/9/14,,23554316,57865.0,,,125407.0,36427
9,905,,,78,57,,13597119,10/10/14,,23609006,54690.0,,,125464.0,34690
10,528,,,34,23,,13611924,10/11/14,,23632284,23278.0,,,125487.0,14805
11,2083,,,80,42,,13638183,10/12/14,,23685064,52781.0,,,125529.0,26259
12,749,,,60,60,,13663799,10/13/14,,23725339,40275.0,,,125589.0,25616
13,869,,,101,62,,13700328,10/14/14,,23787030,61691.0,,,125651.0,36529
14,506,,,82,52,,13732112,10/15/14,,23836349,49319.0,,,125703.0,31784
15,499,,,61,60,,13761957,10/16/14,,23884157,47808.0,,,125763.0,29845
16,1180,,,105,53,,13799716,10/17/14,,23948545,64389.0,,,125816.0,37759
17,1806,,,63,49,,13827350,10/18/14,,24001099,52554.0,,,125865.0,27634
18,1000,,,57,49,,13848367,10/19/14,,24036139,35039.0,,,125914.0,21017
19,514,,,74,54,,13879295,10/20/14,,24084168,48030.0,,,125968.0,30928
20,539,,,90,40,,13914005,10/21/14,,24138128,53960.0,,,126008.0,34710
21,110,,,30,29,,13924407,10/22/14,,24152022,13894.0,,,126037.0,10402
22,74,,,19,25,,13939293,10/23/14,,24172468,20446.0,,,126062.0,14886
23,722,,,84,24,,13972315,10/24/14,,24223619,51151.0,,,126086.0,33022
24,2093,,,83,31,,14000117,10/25/14,,24277499,53881.0,,,126117.0,27802
25,1220,,,71,49,,14023194,10/26/14,,24318808,41308.0,,,126166.0,23077
26,519,,,73,63,,14055122,10/27/14,,24368754,49892.0,,,126229.0,31908
27,628,,,79,166,,14091551,10/28/14,,24425356,56602.0,,,126395.0,36429
28,466,,,70,65,,14124495,10/29/14,,24473733,48378.0,,,126460.0,32944
29,557,,,61,27,,14159153,10/30/14,,24525895,52162.0,,,126487.0,34658
30,653,,,75,16,,14189940,10/31/14,,24572729,46834.0,,,126503.0,30787
31,98,,,10,11,,14196679,11/1/14,,24581432,8703.0,,,126514.0,6739
32,480,,,44,13,,14212409,11/2/14,,24604538,23106.0,,,126527.0,15730
33,568,,,51,30,,14241999,11/3/14,,24649906,45368.0,,,126557.0,29590
34,665,,,80,22,,14276611,11/4/14,,24704213,54306.0,,,126579.0,34612
35,513,,,49,32,,14310375,11/5/14,,24756677,52464.0,,,126611.0,33764
36,98,,,12,16,,14324257,11/6/14,,24775420,18743.0,,,126627.0,13882
37,416,,,45,20,,14352310,11/7/14,,24815583,40163.0,,,126647.0,28053
38,878,,,40,12,,14371682,11/8/14,,24847172,31589.0,,,126659.0,19372
39,952,,,44,16,,14391907,11/9/14,,24881423,34251.0,,,126675.0,20225
40,607,,,46,25,,14422523,11/10/14,,24928191,46768.0,,,126700.0,30616
41,599,,,41,19,,14454835,11/11/14,,24977651,49461.0,,,126719.0,32312
42,325,,,36,28,,14485665,11/12/14,,25022886,45234.0,,,126747.0,30830
43,252,,,21,23,,14508463,11/13/14,,25055281,32395.0,,,126770.0,22798
44,242,,,28,13,,14531915,11/14/14,,25088520,33240.0,,,126783.0,23452
45,522,,,16,14,,14547318,11/15/14,,25112295,23774.0,,,126797.0,15403
46,319,,,20,14,,14561862,11/16/14,,25132940,20645.0,,,126811.0,14544
47,25,,,8,12,,14570806,11/17/14,,25144234,11294.0,,,126823.0,8944
48,78,,,26,11,,14589242,11/18/14,,25167938,23704.0,,,126834.0,18436
49,102,,,17,13,,14607453,11/19/14,,25191989,24052.0,,,126847.0,18211
50,160,,,20,11,,14630135,11/20/14,,25222867,30878.0,,,126858.0,22682
51,131,,,24,7,,14649717,11/21/14,,25248400,25533.0,,,126865.0,19582
52,345,,,9,10,,14663555,11/22/14,,25268611,20211.0,,,126875.0,13838
53,628,,,26,11,,14680567,11/23/14,,25296114,27503.0,,,126886.0,17012
54,374,,,45,8,,14705574,11/24/14,,25333986,37873.0,,,126894.0,25007
55,365,,,27,10,,14733463,11/25/14,,25373481,39495.0,,,126904.0,27889
56,14,,,1,4,,14737527,11/26/14,,25378478,4997.0,,,126908.0,4064
57,74,,,10,3,,14741858,11/27/14,,25384432,5954.0,,,126911.0,4331
58,209,,,8,7,,14751015,11/28/14,,25397175,12743.0,,,126918.0,9157
59,235,,,14,6,,14759989,11/29/14,,25409983,12808.0,,,126924.0,8974
60,449,,,25,13,,14773601,11/30/14,,25431227,21244.0,,,126937.0,13612
61,281,,,20,19,,14793999,12/1/14,,25461204,29977.0,,,126956.0,20398
62,45,,,24,14,,14810960,12/2/14,,25483547,22343.0,,,126970.0,16961
63,65,,,6,8,,14826038,12/3/14,,25506630,23083.0,,,126978.0,15078
64,191,,,14,8,,14849480,12/4/14,,25539707,33077.0,,,126986.0,23442
65,153,,,12,6,,14866769,12/5/14,,25562908,23200.0,,,126992.0,17289
66,59,,,5,12,,14871256,12/6/14,,25568695,5787.0,,,127004.0,4487
67,254,,,13,8,,14882660,12/7/14,,25584702,16007.0,,,127012.0,11404
68,60,,,11,12,,14899675,12/8/14,,25606367,21665.0,,,127024.0,17015
69,18,,,4,7,,14906997,12/9/14,,25615825,9458.0,,,127031.0,7322
70,23,,,5,5,,14918473,12/10/14,,25630415,14590.0,,,127036.0,11476
71,144,,,19,5,,14938313,12/11/14,,25657832,27417.0,,,127041.0,19840
72,151,,,13,5,,14957706,12/12/14,,25683521,25689.0,,,127046.0,19393
73,324,,,20,4,,14971466,12/13/14,,25704797,21276.0,,,127050.0,13760
74,326,,,20,8,,14984721,12/14/14,,25724148,19351.0,,,127058.0,13255
75,186,,,25,7,,15006027,12/15/14,,25753380,29232.0,,,127065.0,21306
76,119,,,19,10,,15024680,12/16/14,,25778496,25116.0,,,127075.0,18653
77,186,,,18,10,,15047030,12/17/14,,25809373,30878.0,,,127085.0,22350
