,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,10/1/17,55503.0,139011.0,246193.0,3511.0,235.0,370,11/1/17 0:04,11/1/17 0:10,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3639,Harborside,40.71925170000001,-74.034234,31817,Subscriber,1975.0,1
1,10/2/17,65509.0,141748.0,246402.0,1408.0,242.0,96,11/1/17 0:05,11/1/17 0:07,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,26307,Subscriber,1991.0,2
2,10/3/17,69105.0,135800.0,246566.0,1258.0,194.0,73,11/1/17 0:09,11/1/17 0:11,3275,Columbus Drive,40.718355200000005,-74.03891444,3187,Warren St,40.721123600000006,-74.03805095,31864,Subscriber,1974.0,1
3,10/4/17,71453.0,150324.0,246742.0,1377.0,188.0,162,11/1/17 0:14,11/1/17 0:16,3275,Columbus Drive,40.718355200000005,-74.03891444,3184,Paulus Hook,40.7141454,-74.0335519,26314,Subscriber,1979.0,1
4,10/5/17,70173.0,150437.0,246893.0,1365.0,251.0,214,11/1/17 0:23,11/1/17 0:27,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,31772,Subscriber,1982.0,1
5,10/6/17,70249.0,148395.0,247025.0,2104.0,383.0,2691,11/1/17 0:28,11/1/17 1:13,3194,McGinley Square,40.72533993,-74.06762213,3183,Exchange Place,40.7162469,-74.0334588,31779,Subscriber,1971.0,1
6,10/7/17,63630.0,153928.0,247206.0,4996.0,356.0,222,11/1/17 0:40,11/1/17 0:44,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31772,Subscriber,1982.0,1
7,10/8/17,41039.0,100790.0,247336.0,2233.0,192.0,1490,11/1/17 0:42,11/1/17 1:06,3185,City Hall,40.717732500000004,-74.04384499999999,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29655,Subscriber,1987.0,1
8,10/9/17,38390.0,78912.0,247453.0,594.0,84.0,974,11/1/17 0:42,11/1/17 0:59,3200,MLK Light Rail,40.711130499999996,-74.0788855,3201,Dey St,40.737711,-74.066921,31767,Subscriber,1994.0,2
9,10/10/17,74117.0,155978.0,247615.0,2016.0,312.0,653,11/1/17 0:56,11/1/17 1:07,3194,McGinley Square,40.72533993,-74.06762213,3189,West Side Light Rail,40.714402,-74.0887723,29604,Subscriber,1962.0,1
10,10/11/17,63587.0,126748.0,247767.0,1146.0,161.0,1833,11/1/17 1:10,11/1/17 1:40,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3186,Grove St PATH,40.71958612,-74.04311746,29655,Subscriber,1987.0,1
11,10/12/17,61244.0,123433.0,247896.0,1070.0,169.0,1929,11/1/17 1:22,11/1/17 1:54,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,31779,Subscriber,1971.0,1
12,10/13/17,67016.0,136608.0,248038.0,1768.0,308.0,306,11/1/17 2:55,11/1/17 3:01,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29655,Subscriber,1952.0,1
13,10/14/17,58771.0,142476.0,248167.0,3680.0,347.0,179,11/1/17 3:00,11/1/17 3:03,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,31825,Subscriber,1981.0,1
14,10/15/17,56529.0,137364.0,248382.0,3381.0,276.0,109,11/1/17 3:38,11/1/17 3:40,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,31709,Subscriber,1972.0,1
15,10/16/17,61729.0,125800.0,248552.0,997.0,192.0,489,11/1/17 3:51,11/1/17 4:00,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,31729,Subscriber,1960.0,1
16,10/17/17,64480.0,122345.0,248712.0,1030.0,170.0,148,11/1/17 4:48,11/1/17 4:50,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29615,Subscriber,1980.0,1
17,10/18/17,70233.0,147842.0,248878.0,1202.0,249.0,1321,11/1/17 5:07,11/1/17 5:29,3207,Oakland Ave,40.7376037,-74.05247829999999,3276,Marin Light Rail,40.71458404,-74.04281706,31811,Subscriber,1984.0,2
18,10/19/17,72311.0,143664.0,249016.0,1491.0,274.0,460,11/1/17 5:07,11/1/17 5:15,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,31802,Subscriber,1964.0,1
19,10/20/17,72174.0,157255.0,249162.0,2246.0,351.0,188,11/1/17 5:12,11/1/17 5:15,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31847,Subscriber,1994.0,1
20,10/21/17,65872.0,169402.0,249378.0,5093.0,276.0,211,11/1/17 5:19,11/1/17 5:22,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31940,Subscriber,1994.0,2
21,10/22/17,62148.0,153444.0,249596.0,4596.0,200.0,408,11/1/17 5:22,11/1/17 5:29,3212,Christ Hospital,40.73478582,-74.05044364,3198,Heights Elevator,40.74871595,-74.04044329999999,31765,Subscriber,1989.0,2
22,10/23/17,69273.0,143899.0,249825.0,1659.0,279.0,345,11/1/17 5:25,11/1/17 5:31,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,26236,Subscriber,1985.0,1
23,10/24/17,48077.0,95599.0,249930.0,466.0,82.0,273,11/1/17 5:30,11/1/17 5:34,3272,Jersey & 3rd,40.72333159,-74.04595256,3205,JC Medical Center,40.71653978,-74.04963791,31697,Subscriber,1988.0,2
24,10/25/17,71284.0,142007.0,250090.0,1133.0,246.0,131,11/1/17 5:52,11/1/17 5:54,3270,Jersey & 6th St,40.72528911,-74.04557168,3269,Brunswick & 6th,40.72601173,-74.05038893,31868,Subscriber,1964.0,1
25,10/26/17,64002.0,123419.0,250187.0,973.0,191.0,147,11/1/17 5:54,11/1/17 5:57,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,31760,Subscriber,1961.0,1
26,10/27/17,69265.0,139481.0,250319.0,1991.0,352.0,304,11/1/17 6:00,11/1/17 6:05,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73074263,-74.06378388,31926,Subscriber,1977.0,1
27,10/28/17,61345.0,143571.0,250499.0,4306.0,317.0,252,11/1/17 6:03,11/1/17 6:07,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,31868,Subscriber,1989.0,2
28,10/29/17,9537.0,20810.0,250556.0,213.0,8.0,219,11/1/17 6:03,11/1/17 6:07,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,26214,Subscriber,1958.0,1
29,10/30/17,49246.0,95502.0,250681.0,771.0,121.0,441,11/1/17 6:07,11/1/17 6:14,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,31925,Subscriber,1980.0,1
30,10/31/17,60242.0,115329.0,250892.0,1076.0,166.0,607,11/1/17 6:08,11/1/17 6:19,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,31704,Subscriber,1960.0,1
31,11/1/17,60772.0,111304.0,250975.0,717.0,125.0,539,11/1/17 6:09,11/1/17 6:18,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31884,Subscriber,1984.0,1
32,11/2/17,70810.0,144455.0,251060.0,1485.0,291.0,88,11/1/17 6:11,11/1/17 6:12,3639,Harborside,40.71925170000001,-74.034234,3183,Exchange Place,40.7162469,-74.0334588,18533,Subscriber,,0
33,11/3/17,71817.0,147055.0,251163.0,2275.0,335.0,173,11/1/17 6:11,11/1/17 6:14,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31799,Subscriber,1973.0,1
34,11/4/17,53433.0,120119.0,251269.0,3086.0,243.0,235,11/1/17 6:11,11/1/17 6:15,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3275,Columbus Drive,40.718355200000005,-74.03891444,26192,Subscriber,1983.0,2
